t_us,gap_us,sync,len,type,is_extended,ext_dest,ext_src,crc_rx,crc_calc,crc_ok,hex
349847948,82,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
349848036,88,0xEE,0x18,0x16,0,,,0x98,0x98,1,ee 18 16 e0 c3 5e 2b b0 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 98
349848117,81,0xEE,0x18,0x16,0,,,0x98,0x98,1,ee 18 16 e0 c3 5e 2b b0 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 98
349948312,100195,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
349948512,200,0xEE,0x10,0x00,0,,,0x2B,0x75,0,ee 10 00 03 0d 40 00 00 01 40 03 ee 18 16 e0 c3 5e 2b
349948599,87,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
349948678,79,0xEE,0x18,0x16,0,,,0x98,0x98,1,ee 18 16 e0 c3 5e 2b b0 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 98
350048874,100196,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350049003,129,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350049052,49,0xEE,0x18,0x16,0,,,0x98,0x98,1,ee 18 16 e0 c3 5e 2b b0 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 98
350049095,43,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350049137,42,0xEE,0x18,0x16,0,,,0xC9,0xC9,1,ee 18 16 e0 d3 5e 2b b0 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c c9
350049178,41,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350149359,100181,0xEE,0x18,0x16,0,,,0x98,0x98,1,ee 18 16 e0 c3 5e 2b b0 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 98
350149568,209,0xEE,0x10,0x00,0,,,0x2B,0x75,0,ee 10 00 03 0d 40 00 00 00 be 24 ee 18 16 e0 c3 5e 2b
350149641,73,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350149703,62,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350149764,61,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350249993,100229,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350250161,168,0xEE,0x18,0x16,0,,,0x73,0x73,1,ee 18 16 e0 c3 5e 2b ae d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 73
350250221,60,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350250283,62,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350250365,82,0xEE,0x18,0x16,0,,,0x1A,0x1A,1,ee 18 16 df c3 5e 2b b0 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 1a
350350642,100277,0xEE,0x18,0x16,0,,,0x73,0x73,1,ee 18 16 e0 c3 5e 2b ae d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 73
350350889,247,0xEE,0x10,0x00,0,,,0x2B,0x9B,0,ee 10 00 03 0d 40 ff ff ff e2 e4 ee 18 16 df c3 5e 2b
350350982,93,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350351057,75,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350351113,56,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350451386,100273,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350451622,236,0xEE,0x18,0x16,0,,,0x98,0x98,1,ee 18 16 e0 c3 5e 2b b0 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 98
350451719,97,0xEE,0x18,0x16,0,,,0x73,0x73,1,ee 18 16 e0 c3 5e 2b ae d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 73
350451790,71,0xEE,0x18,0x16,0,,,0x98,0x98,1,ee 18 16 e0 c3 5e 2b b0 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 98
350451861,71,0xEE,0x18,0x16,0,,,0x60,0x60,1,ee 18 16 e0 c3 5e 2b b4 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 60
350552140,100279,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350552334,194,0xEE,0x10,0x00,0,,,0x2B,0x75,0,ee 10 00 03 0d 40 00 00 00 64 52 ee 18 16 e0 c3 5e 2b
350552417,83,0xEE,0x18,0x16,0,,,0x73,0x73,1,ee 18 16 e0 c3 5e 2b ae d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 73
350552485,68,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
350552539,54,0xEE,0x18,0x16,0,,,0xB5,0xB5,1,ee 18 16 e0 d3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c b5
